,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs,subclass
5493,3.81832E+18,1.23766E+18,181.8380865,38.63450459,21.82751083,21.23940086,21.19688034,21.04423332,21.46386909,23.7350769,-999,STAR,A6IV (28527)
5499,6.37932E+18,1.23767E+18,207.1000225,30.59910779,20.42977715,20.0275631,19.99969292,19.87406349,19.55348969,20.76685715,-999,QSO,BROADLINE
5502,3.1509E+18,1.23767E+18,208.536706,29.4526402,22.5586853,22.01163673,21.72460938,22.44799423,21.60433197,23.16422272,-999,QSO,null
5506,6.37932E+18,1.23767E+18,206.1733513,29.03571067,21.580616,21.04823112,20.70010185,20.53140068,20.11884499,23.25574875,-999,QSO,null
5508,6.37887E+18,1.23767E+18,181.5263116,25.26711805,21.82541466,21.08966446,20.96469116,20.87669945,20.71535873,22.47980309,-999,STAR,Am (78362)
5512,3.12951E+18,1.23767E+18,205.3189843,30.41356574,20.5609951,20.01259041,19.80188942,19.73257637,19.74401474,23.30110741,-999,STAR,CalciumWD
5514,6.37887E+18,1.23767E+18,177.2738582,26.1350016,19.87574577,19.45748711,19.4348278,19.34275436,19.18192101,20.52072906,20.83076096,QSO,BROADLINE
5517,6.37932E+18,1.23767E+18,200.6393523,32.07960653,21.36316681,20.86404419,20.69605064,20.74834824,20.90519524,22.03061676,-999,STAR,F0V (90277)
5518,6.37932E+18,1.23767E+18,202.8198542,32.32104344,20.91880035,20.02345276,19.88666153,19.77804756,19.37798309,22.98808098,-999,QSO,BROADLINE
5520,6.37932E+18,1.23767E+18,203.201031,32.66692378,21.68819237,21.12262344,20.88426971,20.56432724,20.22700119,21.4476738,-999,QSO,null
5521,6.37486E+18,1.23767E+18,178.3079262,27.42227173,17.64843559,17.54876518,17.86795616,18.14890862,18.4268322,17.28757095,17.1021328,STAR,WDhotter
5523,6.37486E+18,1.23767E+18,178.1217771,31.95521294,21.00491905,20.24663162,19.94976807,19.96194458,19.70562553,22.40242958,-999,STAR,F2V (33256)
5526,3.81832E+18,1.23766E+18,181.8380865,38.63450459,21.82751083,21.23940086,21.19688034,21.04423332,21.46386909,23.7350769,-999,STAR,A6IV (28527)
5530,6.37486E+18,1.23767E+18,185.056952,33.7952948,21.0576992,20.56832504,20.5601902,20.54304504,20.25474548,22.2175293,21.74758148,QSO,BROADLINE
5531,3.05707E+18,1.23766E+18,191.0370912,38.09046922,21.58272743,20.91612625,20.61759949,20.43344688,20.12661934,24.26767921,-999,STAR,F5Ib... (17463)
5534,6.37468E+18,1.23766E+18,190.8096459,39.08127061,20.5215683,20.08795929,19.9834671,19.92719269,20.08947182,22.0538826,-999,STAR,WDcooler
5535,6.37486E+18,1.23767E+18,185.0472787,32.90220484,21.80303955,21.18879509,21.19927979,21.16505051,21.17281342,21.99673843,-999,STAR,B1Ve (212571)
5536,6.37486E+18,1.23767E+18,184.5357303,32.8336898,21.35845947,20.69017792,20.80685425,20.75464249,20.18142509,21.66623688,-999,QSO,BROADLINE
5541,6.37468E+18,1.23766E+18,181.6592461,36.89261453,21.55066872,20.74835587,20.36648369,19.9044075,19.75839424,22.49822235,-999,QSO,STARBURST BROADLINE
5547,6.4418E+18,1.23767E+18,183.1793412,33.20102113,22.61996841,21.2679882,21.04409981,21.06246567,20.83266068,23.87735558,-999,STAR,F0IV (81937)
5548,6.37468E+18,1.23766E+18,188.4350328,36.58845858,21.99220657,20.67234993,20.53550911,20.45828629,20.41610718,22.27370644,-999,STAR,A1III (225180)
5552,3.05696E+18,1.23766E+18,188.8515615,38.80652535,22.30843544,21.49530602,21.52352905,21.52048492,21.05669785,23.96025848,-999,QSO,null
5556,6.37468E+18,1.23766E+18,188.4350328,36.58845858,21.99220657,20.67234993,20.53550911,20.45828629,20.41610718,22.27370644,-999,STAR,F0III (89025)
5560,6.37489E+18,1.23767E+18,190.0263651,35.44860149,22.67207336,21.33727074,21.0453434,20.94181824,21.1103096,22.24235725,-999,STAR,F0IV (81937)
5562,6.4418E+18,1.23767E+18,183.1793412,33.20102113,22.61996841,21.2679882,21.04409981,21.06246567,20.83266068,23.87735558,-999,STAR,F0III (89025)
5565,3.15083E+18,1.23767E+18,202.3832347,29.82228096,21.13839531,20.63681602,20.61716461,20.57415009,20.60012627,22.74297333,-999,QSO,BROADLINE
5566,6.37932E+18,1.23767E+18,199.4403439,29.70190219,20.00382996,19.57579994,19.51511765,19.54073524,19.5461483,22.29645729,21.66939163,QSO,BROADLINE
5571,3.15196E+18,1.23767E+18,183.0340167,35.75904255,21.92035866,20.80040169,20.0322628,19.5704422,19.16596413,22.47785378,23.41860771,QSO,BROADLINE
